,AAPL,ABBV,ABT,AFL,AMZN,CCI,CVX,DLR,DRE,GOOGL,GS,JPM,MSFT,NEE,XOM,MVP,Date
88,10343.606216503022,9512.084972876184,10820.860833907045,6780.717938984749,12812.852084937378,10882.167364288014,7687.328665459951,12446.133408892418,9584.65569577133,10223.161179089218,7929.370379326885,6543.041827692142,11642.359521653885,9269.903878956016,6339.925831525297,9524.039872232186,2020-05-07
89,10561.212713395716,9482.719473266745,10787.473669102814,6854.441829041282,12877.792608491294,11093.915140304653,7922.16409661823,12114.581605691295,9783.674635243624,10335.601320873757,8062.888935549283,6649.928336229293,11710.84313567831,9486.702686381102,6617.942263260255,9681.966333535032,2020-05-08
90,10727.397116060229,9927.716356106768,11060.326850075458,6693.761592821389,13036.842927549817,11240.94267654307,7747.90482876533,12056.12186285427,9775.021972745433,10479.322556633044,7965.903079046277,6454.089322809658,11841.4717252311,9389.659788743656,6554.88714225049,9685.214404934522,2020-05-11
91,10604.801979729844,10216.850931679695,10798.987150891082,6361.0587060979915,12755.163416956757,10849.103611851599,7559.538366876564,11101.552952006748,9128.930282690317,10267.21194974701,7707.128793925843,6243.185264694029,11573.2402053715,9412.37154067013,6322.728533061366,9556.030719120834,2020-05-12
92,10476.758055201431,10037.27149623248,10610.177643853964,6047.258761508451,12814.53003648884,10776.64502419616,7360.384646576582,11142.475409156075,8771.27241231037,10066.746595341489,7471.839626159987,6027.977220838034,11398.22469742943,9502.807715442492,6008.885216205543,9469.032667242585,2020-05-13
93,10541.120891493667,10158.120794149821,10566.428521111358,6192.816139240917,12927.796720793816,10695.743919401817,7472.4090494962265,11084.01566631905,8794.34709587863,10130.43320749352,7587.091832522689,6278.335758612514,11447.685622882262,9589.940213726382,6061.908853115456,9570.68520519326,2020-05-14
94,10478.80122086943,10245.08675700327,10348.837066314247,6236.295033437371,13041.064230862352,10562.082717990303,7398.556309153368,10921.163070442046,8892.414638579696,10251.383429108757,7474.883685989467,6162.123765203786,11614.458288304422,9409.068494293519,6018.916700305394,9515.616388252238,2020-05-15
95,10725.693785170173,10330.92390725986,10392.585310701512,6568.997920160768,13130.249998265896,11002.462230872628,7679.86070958116,10976.281528358773,9359.677668516762,10341.872805407625,7910.2340136755065,6488.522303337297,11725.428487027659,9722.91019935605,6497.563907387152,9763.81639712667,2020-05-18
96,10663.716027824052,10300.428733364555,10156.573866082783,6357.277901336788,13255.098016482902,10732.325297860378,7436.727338637928,10974.612160225442,9192.386075110919,10261.388184272506,7734.093310819545,6360.832284884451,11644.261790511046,9518.50002123477,6296.933132040352,9642.073270042929,2020-05-19
97,10871.105657126664,10299.299920767697,10371.862273180104,6578.44957150639,13518.16233917016,10718.255867200549,7717.201755159559,11086.520992845864,9420.2485065795,10520.909163612949,7891.097648024128,6551.65034647523,11772.98714362333,9613.065319033827,6501.862958665693,9791.636379720585,2020-05-20
98,10790.056621462407,10505.98550725262,10406.40096183423,6587.901222852012,13241.081505836,10610.623166181156,7637.540393658011,10919.492427981897,9529.853666136622,10502.916097903968,7832.819198905917,6468.436306812448,11631.578708018857,9452.427751689047,6385.784200746014,9672.535237354334,2020-05-21
99,10859.52737192464,10402.077876867226,10530.739186962677,6559.5462688151465,13187.722316194115,10988.392800212798,7491.494247692394,11342.074493195445,9599.077166697547,10551.371148163566,7825.425060118025,6418.2213155003255,11636.651747499063,9656.83855992219,6391.516086892441,9746.194005912585,2020-05-22
